# GRID
# x y z
# 0.0 0.98 50 0.0 0.98 50 0.0 0.0 1
# x y z Bx By Bz
0 0 0 0.713662 2.39858 -0.719573
0 0.02 0 0.867515 2.534 -0.791875
0 0.04 0 1.01834 2.67117 -0.871033
0 0.06 0 1.20915 2.8082 -0.957342
0 0.08 0 1.39642 2.94565 -1.05202
0 0.1 0 1.62991 3.07717 -1.15394
0 0.12 0 1.85866 3.20691 -1.26588
0 0.14 0 2.13991 3.32244 -1.38435
0 0.16 0 2.41405 3.43293 -1.51453
0 0.18 0 2.7465 3.51795 -1.64904
0 0.2 0 3.06768 3.59351 -1.79675
0 0.22 0 3.45177 3.62894 -1.94407
0 0.24 0 3.81802 3.64942 -2.10544
0 0.26 0 4.20314 3.63526 -2.27204
0 0.28 0 4.60458 3.58039 -2.44118
0 0.3 0 5.019 3.47858 -2.60894
0 0.32 0 5.44228 3.3238 -2.76984
0 0.34 0 5.81231 3.14858 -2.9518
0 0.36 0 6.23545 2.87663 -3.08211
0 0.38 0 6.58902 2.5836 -3.2295
0 0.4 0 6.92433 2.23137 -3.34705
0 0.42 0 7.16967 1.86389 -3.49479
0 0.44 0 7.38218 1.44244 -3.60609
0 0.46 0 7.5576 0.977604 -3.66601
0 0.48 0 7.69243 0.488351 -3.66263
0 0.5 0 7.71477 0 -3.69443
0 0.52 0 7.69243 -0.48835 -3.66263
0 0.54 0 7.5576 -0.977602 -3.66601
0 0.56 0 7.38218 -1.44244 -3.60609
0 0.58 0 7.16967 -1.86389 -3.4948
0 0.6 0 6.92433 -2.23137 -3.34705
0 0.62 0 6.58902 -2.5836 -3.2295
0 0.64 0 6.23545 -2.87663 -3.08211
0 0.66 0 5.81231 -3.14858 -2.9518
0 0.68 0 5.44228 -3.3238 -2.76984
0 0.7 0 5.019 -3.47858 -2.60894
0 0.72 0 4.60458 -3.58039 -2.44118
0 0.74 0 4.20314 -3.63526 -2.27204
0 0.76 0 3.81802 -3.64942 -2.10544
0 0.78 0 3.45177 -3.62894 -1.94407
0 0.8 0 3.06769 -3.59351 -1.79675
0 0.82 0 2.7465 -3.51795 -1.64904
0 0.84 0 2.41405 -3.43293 -1.51453
0 0.86 0 2.13992 -3.32244 -1.38435
0 0.88 0 1.85866 -3.20691 -1.26588
0 0.9 0 1.62991 -3.07717 -1.15394
0 0.92 0 1.39642 -2.94565 -1.05202
0 0.94 0 1.20915 -2.8082 -0.957342
0 0.96 0 1.01834 -2.67117 -0.871033
0 0.98 0 0.867515 -2.534 -0.791875
0.02 0 0 0.662087 2.53443 -0.760328
0.02 0.02 0 0.798991 2.68668 -0.839587
0.02 0.04 0 0.975116 2.84343 -0.927205
0.02 0.06 0 1.14879 3.00223 -1.02349
0.02 0.08 0 1.36862 3.16085 -1.12888
0.02 0.1 0 1.58551 3.31969 -1.24489
0.02 0.12 0 1.85592 3.47125 -1.37023
0.02 0.14 0 2.15516 3.61372 -1.50571
0.02 0.16 0 2.44886 3.75123 -1.65495
0.02 0.18 0 2.8069 3.86453 -1.8115
0.02 0.2 0 3.15537 3.96757 -1.98379
0.02 0.22 0 3.57393 4.03031 -2.1591
0.02 0.24 0 3.97609 4.07592 -2.35149
0.02 0.26 0 4.45175 4.06104 -2.53815
0.02 0.28 0 4.9005 4.02108 -2.74164
0.02 0.3 0 5.36594 3.9288 -2.9466
0.02 0.32 0 5.84337 3.77673 -3.14727
0.02 0.34 0 6.32708 3.55801 -3.33563
0.02 0.36 0 6.74469 3.30965 -3.54605
0.02 0.38 0 7.21764 2.94738 -3.68422
0.02 0.4 0 7.60427 2.55731 -3.83597
