# GRID
# fP fPz phi
# -2.0 2.0 101 -2.0 2.0 101 0.0 0.0 1
# fP fBz phi RH
-2.0 -2.0 0.0 -2.6199999999999997
-2.0 -1.96 0.0 -2.6247999999999996
-2.0 -1.92 0.0 -2.6296
-2.0 -1.88 0.0 -2.6344000000000003
-2.0 -1.84 0.0 -2.6392
-2.0 -1.8 0.0 -2.644
-2.0 -1.76 0.0 -2.6487999999999996
-2.0 -1.72 0.0 -2.6536
-2.0 -1.68 0.0 -2.6584000000000003
-2.0 -1.6400000000000001 0.0 -2.6632
-2.0 -1.6 0.0 -2.668
-2.0 -1.56 0.0 -2.6727999999999996
-2.0 -1.52 0.0 -2.6775999999999995
-2.0 -1.48 0.0 -2.6824
-2.0 -1.44 0.0 -2.6872
-2.0 -1.4 0.0 -2.692
-2.0 -1.3599999999999999 0.0 -2.6967999999999996
-2.0 -1.3199999999999998 0.0 -2.7015999999999996
-2.0 -1.28 0.0 -2.7063999999999995
-2.0 -1.24 0.0 -2.7112
-2.0 -1.2 0.0 -2.716
-2.0 -1.1600000000000001 0.0 -2.7207999999999997
-2.0 -1.12 0.0 -2.7256
-2.0 -1.08 0.0 -2.7304
-2.0 -1.04 0.0 -2.7352
-2.0 -1.0 0.0 -2.7399999999999998
-2.0 -0.96 0.0 -2.7447999999999997
-2.0 -0.9199999999999999 0.0 -2.7496
-2.0 -0.8799999999999999 0.0 -2.7544
-2.0 -0.8400000000000001 0.0 -2.7592
-2.0 -0.8 0.0 -2.7640000000000002
-2.0 -0.76 0.0 -2.7687999999999997
-2.0 -0.72 0.0 -2.7736
-2.0 -0.6799999999999999 0.0 -2.7783999999999995
-2.0 -0.6399999999999999 0.0 -2.7832
-2.0 -0.5999999999999999 0.0 -2.7880000000000003
-2.0 -0.56 0.0 -2.7927999999999997
-2.0 -0.52 0.0 -2.7976
-2.0 -0.48 0.0 -2.8024
-2.0 -0.43999999999999995 0.0 -2.8072
-2.0 -0.3999999999999999 0.0 -2.812
-2.0 -0.3599999999999999 0.0 -2.8167999999999997
-2.0 -0.32000000000000006 0.0 -2.8216
-2.0 -0.28 0.0 -2.8263999999999996
-2.0 -0.24 0.0 -2.8312
-2.0 -0.19999999999999996 0.0 -2.836
-2.0 -0.15999999999999992 0.0 -2.8407999999999998
-2.0 -0.11999999999999988 0.0 -2.8456
-2.0 -0.08000000000000007 0.0 -2.8504
-2.0 -0.040000000000000036 0.0 -2.8552
-2.0 0.0 0.0 -2.86
-2.0 0.040000000000000036 0.0 -2.8648
-2.0 0.08000000000000007 0.0 -2.8695999999999997
-2.0 0.1200000000000001 0.0 -2.8744
-2.0 0.16000000000000014 0.0 -2.8792
-2.0 0.20000000000000018 0.0 -2.884
